word_simplified,word_traditional,pinyin,pinyin_style2,hsk30_level,hsk30_level_zh,cc_cedict_english_definition,Group
爱,愛,ài,ai4,1,一级,to love; to be fond of; to like/affection/to be inclined (to do sth); to tend to (happen),Group 1
爱好,愛好,ài hào,ai4 hao4,1,一级,to like; to be fond of; to take pleasure in; to be keen on/interest; hobby/CL:個|个[ge4],Group 1
爸爸,爸爸,bà bà,ba4 ba4,1,一级,"(coll.) father; dad/CL:個|个[ge4],位[wei4]",Group 1
八,八,bā,ba1,1,一级,eight; 8,Group 1
吧,吧,ba,ba,1,一级,(onom.) smack!,Group 1
白,白,bái,bai2,1,一级,white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera,Group 1
百,百,bǎi,bai3,1,一级,hundred/numerous/all kinds of,Group 1
白天,白天,bái tiān,bai2 tian1,1,一级,daytime/during the day/day/CL:個|个[ge4],Group 1
班,班,bān,ban1,1,一级,team; class; grade/(military) squad/work shift/CL:個|个[ge4]/classifier for groups of people and scheduled transport vehicles,Group 1
半,半,bàn,ban4,1,一级,half/semi-/incomplete/(after a number) and a half,Group 1
半年,半年,bàn nián,ban4 nian2,1,一级,half a year,Group 1
半天,半天,bàn tiān,ban4 tian1,1,一级,half of the day/a long time/quite a while/midair/CL:個|个[ge4],Group 1
帮,"幇,幚,幫",bāng,bang1,1,一级,"to help/to assist/to support/for sb (i.e. as a help)/hired (as worker)/side (of pail, boat etc)/outer layer/upper (of a shoe)/group/gang/clique/party/secret society",Group 1
帮忙,幫忙,bāng máng,bang1 mang2,1,一级,to help/to lend a hand/to do a favor/to do a good turn,Group 1
包,包,bāo,bao1,1,一级,"to cover/to wrap/to hold/to include/to take charge of/to contract (to or for)/package/wrapper/container/bag/to hold or embrace/bundle/packet/CL:個|个[ge4],隻|只[zhi1]",Group 1
包子,包子,bāo zi,bao1 zi,1,一级,bao (steamed stuffed bun)/CL:個|个[ge4],Group 1
杯,"杯,桮,盃",bēi,bei1,1,一级,"variant of 杯[bei1]/trophy cup/classifier for certain containers of liquids: glass, cup",Group 1
北,北,běi,bei3,1,一级,north/(classical) to be defeated,Group 1
北边,北邊,běi biān,bei3 bian1,1,一级,north/north side/northern part/to the north of,Group 2
北京,北京,běi jīng,bei3 jing1,1,一级,"Beijing, capital of the People's Republic of China",Group 2
杯子,杯子,bēi zi,bei1 zi,1,一级,"cup/glass/CL:個|个[ge4],隻|只[zhi1]",Group 2
本,本,běn,ben3,1,一级,"root/stem/origin/source/this/the current/original/inherent/originally/classifier for books, periodicals, files etc",Group 2
本子,本子,běn zi,ben3 zi,1,一级,"book/notebook/Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi""/CL:本[ben3]/edition",Group 2
比,比,bǐ,bi3,1,一级,to compare/(followed by a noun and adjective) more {adj.} than {noun}/ratio/to gesture/(Taiwan pr. [bi4] in some compounds derived from Classical Chinese),Group 2
别,"別,彆",bié,bie2,1,一级,"to make sb change their ways, opinions etc",Group 2
别的,別的,bié de,bie2 de,1,一级,else/other,Group 2
别人,別人,bié rén,bie2 ren2,1,一级,other people; others; other person,Group 2
病,病,bìng,bing4,1,一级,illness/CL:場|场[chang2]/disease/to fall ill/defect,Group 2
病人,病人,bìng rén,bing4 ren2,1,一级,sick person/patient/invalid/CL:個|个[ge4],Group 2
不大,不大,bù dà,bu4 da4,1,一级,not very/not too/not often,Group 2
不对,不對,bú duì,bu2 dui4,1,一级,incorrect/wrong/amiss/abnormal/queer,Group 2
不,不,bù,bu4,1,一级,no; not so/(bound form) not; un-,Group 2
不客气,不客氣,bú kè qì,bu2 ke4 qi4,1,一级,you're welcome/don't mention it/impolite/rude/blunt,Group 2
不用,不用,bù yòng,bu4 yong4,1,一级,need not,Group 2
菜,菜,cài,cai4,1,一级,"vegetable; greens (CL:棵[ke1])/dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2])/(of one's skills etc) weak; poor/(coll.) (one's) type",Group 2
茶,茶,chá,cha2,1,一级,"tea/tea plant/CL:杯[bei1],壺|壶[hu2]",Group 3
差,差,chà,cha4,1,一级,used in 參差|参差[cen1 ci1],Group 3
常,常,cháng,chang2,1,一级,always/ever/often/frequently/common/general/constant,Group 3
唱,唱,chàng,chang4,1,一级,to sing/to call loudly/to chant,Group 3
常常,常常,cháng cháng,chang2 chang2,1,一级,frequently/often,Group 3
唱歌,唱歌,chàng gē,chang4 ge1,1,一级,to sing a song,Group 3
车,車,chē,che1,1,一级,war chariot (archaic)/rook (in Chinese chess)/rook (in chess),Group 3
车上,車上,chē shàng,che1 shang4,1,一级,in the card,Group 3
车票,車票,chē piào,che1 piao4,1,一级,ticket (for a bus or train),Group 3
车站,車站,chē zhàn,che1 zhan4,1,一级,"rail station/bus stop/CL:處|处[chu4],個|个[ge4]",Group 3
吃,"吃,喫",chī,chi1,1,一级,variant of 吃[chi1],Group 3
吃饭,吃飯,chī fàn,chi1 fan4,1,一级,to have a meal/to eat/to make a living,Group 3
出,"出,齣",chū,chu1,1,一级,variant of 出[chu1] (classifier for plays or chapters of classical novels),Group 3
出来,出來,chū lái,chu1 lai2,1,一级,"(after a verb, indicates coming out, completion of an action, or ability to discern or detect)",Group 3
出去,出去,chū qù,chu1 qu4,1,一级,to go out,Group 3
穿,穿,chuān,chuan1,1,一级,to wear/to put on/to dress/to bore through/to pierce/to perforate/to penetrate/to pass through/to thread,Group 3
床,"床,牀",chuáng,chuang2,1,一级,variant of 床[chuang2],Group 3
次,次,cì,ci4,1,一级,"next in sequence/second/the second (day, time etc)/secondary/vice-/sub-/infra-/inferior quality/substandard/order/sequence/hypo- (chemistry)/classifier for enumerated events: time",Group 3
从,從,cóng,cong2,1,一级,from; through; via/(bound form) to follow/(bound form) to obey/(bound form) to engage in (an activity)/(used before a negative) ever/(bound form) (Taiwan pr. [zong4]) retainer; attendant/(bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate/(bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor,Group 3
错,錯,cuò,cuo4,1,一级,mistake/wrong/bad/interlocking/complex/to grind/to polish/to alternate/to stagger/to miss/to let slip/to evade/to inlay with gold or silver,Group 3
打,打,dǎ,da3,1,一级,to beat/to strike/to hit/to break/to type/to mix up/to build/to fight/to fetch/to make/to tie up/to issue/to shoot/to calculate/to play (a game)/since/from,Group 4
打车,打車,dǎ chē,da3 che1,1,一级,to take a taxi (in town)/to hitch a lift,Group 4
大,大,dà,da4,1,一级,see 大夫[dai4 fu5],Group 4
打电话,打電話,dǎ diàn huà,da3 dian4 hua4,1,一级,to make a telephone call,Group 4
打开,打開,dǎ kāi,da3 kai1,1,一级,to open/to show (a ticket)/to turn on/to switch on,Group 4
打球,打球,dǎ qiú,da3 qiu2,1,一级,to play ball/to play with a ball,Group 4
大学,大學,dà xué,da4 xue2,1,一级,university/college/CL:所[suo3],Group 4
大学生,大學生,dà xué shēng,da4 xue2 sheng1,1,一级,university student/college student,Group 4
到,到,dào,dao4,1,一级,to reach; to arrive/to leave for; to go to/to (a place); until (a time); up to (a point)/(verb complement indicating arriving at a place or reaching a point)/considerate; thoughtful; thorough,Group 4
